candidate_id,query_id,title,doi,decision,reason,lane,payload
MA-C31,MA-Q04,Functional CRISPR dissection of gene networks controlling human regulatory T cell identity,10.1038/s41590-020-0784-4,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C31"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1038/s41590-020-0784-4"",""lane"":""activation"",""pmid"":""32989329"",""query_id"":""MA-Q04"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S03"",""title"":""Functional CRISPR dissection of gene networks controlling human regulatory T cell identity"",""unique_paper_id"":""10.1038/s41590-020-0784-4"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7577958/""}"
MA-C32,MA-Q04,Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,10.3389/fimmu.2021.655122,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C32"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.3389/fimmu.2021.655122"",""lane"":""activation"",""pmid"":""34408743"",""query_id"":""MA-Q04"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S04"",""title"":""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells"",""unique_paper_id"":""10.3389/fimmu.2021.655122"",""url"":""https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.655122/full""}"
MA-C33,MA-Q04,Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3,10.1038/s41586-025-08795-5,await_full_text,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C33"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41586-025-08795-5"",""lane"":""activation"",""pmid"":""40140585"",""query_id"":""MA-Q04"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S06"",""title"":""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"",""unique_paper_id"":""10.1038/s41586-025-08795-5"",""url"":""https://www.nature.com/articles/s41586-025-08795-5""}"
MA-C34,MA-Q05,AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation,10.1084/jem.20182009,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C34"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1084/jem.20182009"",""lane"":""activation"",""pmid"":""31653690"",""query_id"":""MA-Q05"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S01"",""title"":""AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation"",""unique_paper_id"":""10.1084/jem.20182009"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7037242/""}"
MA-C35,MA-Q05,Functional CRISPR dissection of gene networks controlling human regulatory T cell identity,10.1038/s41590-020-0784-4,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C35"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1038/s41590-020-0784-4"",""lane"":""activation"",""pmid"":""32989329"",""query_id"":""MA-Q05"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S03"",""title"":""Functional CRISPR dissection of gene networks controlling human regulatory T cell identity"",""unique_paper_id"":""10.1038/s41590-020-0784-4"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7577958/""}"
MA-C36,MA-Q05,Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,10.3389/fimmu.2021.655122,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C36"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.3389/fimmu.2021.655122"",""lane"":""activation"",""pmid"":""34408743"",""query_id"":""MA-Q05"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S04"",""title"":""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells"",""unique_paper_id"":""10.3389/fimmu.2021.655122"",""url"":""https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.655122/full""}"
MA-C37,MA-Q05,Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3,10.1038/s41586-025-08795-5,await_full_text,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C37"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41586-025-08795-5"",""lane"":""activation"",""pmid"":""40140585"",""query_id"":""MA-Q05"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S06"",""title"":""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"",""unique_paper_id"":""10.1038/s41586-025-08795-5"",""url"":""https://www.nature.com/articles/s41586-025-08795-5""}"
MA-C38,MA-Q06,Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3,10.1038/s41586-025-08795-5,await_full_text,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C38"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41586-025-08795-5"",""lane"":""activation"",""pmid"":""40140585"",""query_id"":""MA-Q06"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S06"",""title"":""Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"",""unique_paper_id"":""10.1038/s41586-025-08795-5"",""url"":""https://www.nature.com/articles/s41586-025-08795-5""}"
MA-C39,MA-Q07,Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells,10.1016/j.clim.2013.04.014,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C39"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1016/j.clim.2013.04.014"",""lane"":""activation"",""pmid"":""23773921"",""query_id"":""MA-Q07"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S02"",""title"":""Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells"",""unique_paper_id"":""10.1016/j.clim.2013.04.014"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4169138/""}"
MA-C40,MA-Q07,IL-2 regulates FOXP3 expression in human CD4+CD25+ regulatory T cells through a STAT-dependent mechanism and induces the expansion of these cells in vivo,10.1182/blood-2006-02-004747,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C40"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1182/blood-2006-02-004747"",""lane"":""activation"",""pmid"":""16645171"",""query_id"":""MA-Q07"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S05"",""title"":""IL-2 regulates FOXP3 expression in human CD4+CD25+ regulatory T cells through a STAT-dependent mechanism and induces the expansion of these cells in vivo"",""unique_paper_id"":""10.1182/blood-2006-02-004747"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC1895505/""}"
MA-C41,MA-Q08,Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity,10.1371/journal.pone.0001581,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C41"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1371/journal.pone.0001581"",""lane"":""activation"",""pmid"":""18324310"",""query_id"":""MA-Q08"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S07"",""title"":""Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity"",""unique_paper_id"":""10.1371/journal.pone.0001581"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2265256/""}"
MA-C42,MA-Q08,Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,10.3389/fimmu.2021.655122,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C42"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.3389/fimmu.2021.655122"",""lane"":""activation"",""pmid"":""34408743"",""query_id"":""MA-Q08"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S04"",""title"":""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells"",""unique_paper_id"":""10.3389/fimmu.2021.655122"",""url"":""https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.655122/full""}"
MA-C43,MA-Q09,AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation,10.1084/jem.20182009,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C43"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1084/jem.20182009"",""lane"":""activation"",""pmid"":""31653690"",""query_id"":""MA-Q09"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S01"",""title"":""AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation"",""unique_paper_id"":""10.1084/jem.20182009"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7037242/""}"
MA-C44,MA-Q09,Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells,10.1016/j.clim.2013.04.014,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C44"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1016/j.clim.2013.04.014"",""lane"":""activation"",""pmid"":""23773921"",""query_id"":""MA-Q09"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S02"",""title"":""Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells"",""unique_paper_id"":""10.1016/j.clim.2013.04.014"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4169138/""}"
MA-C45,MA-Q09,Functional CRISPR dissection of gene networks controlling human regulatory T cell identity,10.1038/s41590-020-0784-4,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C45"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1038/s41590-020-0784-4"",""lane"":""activation"",""pmid"":""32989329"",""query_id"":""MA-Q09"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S03"",""title"":""Functional CRISPR dissection of gene networks controlling human regulatory T cell identity"",""unique_paper_id"":""10.1038/s41590-020-0784-4"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7577958/""}"
MA-C46,MA-Q09,Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,10.3389/fimmu.2021.655122,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C46"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.3389/fimmu.2021.655122"",""lane"":""activation"",""pmid"":""34408743"",""query_id"":""MA-Q09"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S04"",""title"":""Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells"",""unique_paper_id"":""10.3389/fimmu.2021.655122"",""url"":""https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.655122/full""}"
MGSC01,MGQ11,Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk,10.1016/j.cell.2017.03.007,include,"Inherited anchor; re-extract rescue, timing, primary-cell discordance and blood preparation.",genetic,"{""candidate_id"":""MGSC01"",""decision"":""include"",""doi"":""10.1016/j.cell.2017.03.007"",""lane"":""genetic"",""pmid"":""28340352"",""query_id"":""MGQ11"",""reason"":""Inherited anchor; re-extract rescue, timing, primary-cell discordance and blood preparation."",""source_id"":""MG01"",""title"":""Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/""}"
MGSC02,MGQ11,Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,10.1038/ng2103,include,Primary PDF Methods/Results now inspected; do not convert RNA predictions into protein.,genetic,"{""candidate_id"":""MGSC02"",""decision"":""include"",""doi"":""10.1038/ng2103"",""lane"":""genetic"",""pmid"":""17660817"",""query_id"":""MGQ11"",""reason"":""Primary PDF Methods/Results now inspected; do not convert RNA predictions into protein."",""source_id"":""MG02"",""title"":""Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis"",""url"":""https://www.nature.com/articles/ng2103""}"
MGSC03,MGQ11,Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,10.1038/s41467-019-12393-1,include,"Monocyte nulls, paralogue contrast and known eQTL cohort reuse.",genetic,"{""candidate_id"":""MGSC03"",""decision"":""include"",""doi"":""10.1038/s41467-019-12393-1"",""lane"":""genetic"",""pmid"":""31594933"",""query_id"":""MGQ11"",""reason"":""Monocyte nulls, paralogue contrast and known eQTL cohort reuse."",""source_id"":""MG03"",""title"":""Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6783569/""}"
MGSC04,MGQ02,Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens,10.1186/s13059-024-03176-z,include,Primary-cell regulatory intervention with RNA and surface-protein endpoints; broad immune regulation.,genetic,"{""candidate_id"":""MGSC04"",""decision"":""include"",""doi"":""10.1186/s13059-024-03176-z"",""lane"":""genetic"",""pmid"":""38308274"",""query_id"":""MGQ02"",""reason"":""Primary-cell regulatory intervention with RNA and surface-protein endpoints; broad immune regulation."",""source_id"":""MG04"",""title"":""Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens"",""url"":""https://link.springer.com/article/10.1186/s13059-024-03176-z""}"
MGSC05,MGQ01,A disease-associated gene desert directs macrophage inflammation through ETS2,10.1038/s41586-024-07501-1,include,Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields.,genetic,"{""candidate_id"":""MGSC05"",""decision"":""include"",""doi"":""10.1038/s41586-024-07501-1"",""initial_decision"":""await_full_text"",""initial_reason"":""Search discovery; full-text routes failed, no mechanism assertion extracted."",""lane"":""genetic"",""pmid"":""38839969"",""query_id"":""MGQ01"",""reason"":""Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields."",""source_id"":""MG05"",""title"":""A disease-associated gene desert directs macrophage inflammation through ETS2"",""url"":""https://www.nature.com/articles/s41586-024-07501-1""}"
MGSC06,MGQ05,A disease-associated gene desert directs macrophage inflammation through ETS2,10.1038/s41586-024-07501-1,include,Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields.,genetic,"{""candidate_id"":""MGSC06"",""decision"":""include"",""doi"":""10.1038/s41586-024-07501-1"",""initial_decision"":""await_full_text"",""initial_reason"":""Repeat ranked-search appearance of same DOI; no independent paper."",""lane"":""genetic"",""pmid"":""38839969"",""query_id"":""MGQ05"",""reason"":""Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields."",""source_id"":""MG05"",""title"":""A disease-associated gene desert directs macrophage inflammation through ETS2"",""url"":""https://www.nature.com/articles/s41586-024-07501-1""}"
MGSC07,MGQ06,Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens,10.1186/s13059-024-03176-z,include,Repeat appearance confirms protein-readout relevance; same paper.,genetic,"{""candidate_id"":""MGSC07"",""decision"":""include"",""doi"":""10.1186/s13059-024-03176-z"",""lane"":""genetic"",""pmid"":""38308274"",""query_id"":""MGQ06"",""reason"":""Repeat appearance confirms protein-readout relevance; same paper."",""source_id"":""MG04"",""title"":""Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens"",""url"":""https://link.springer.com/article/10.1186/s13059-024-03176-z""}"
MGSC08,MGQ03,Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk,10.1016/j.cell.2017.03.007,include,Correction/retraction check; no matching related notice found in bounded search.,genetic,"{""candidate_id"":""MGSC08"",""decision"":""include"",""doi"":""10.1016/j.cell.2017.03.007"",""lane"":""genetic"",""pmid"":""28340352"",""query_id"":""MGQ03"",""reason"":""Correction/retraction check; no matching related notice found in bounded search."",""source_id"":""MG01"",""title"":""Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/""}"
MGSC09,MGQ04,Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,10.1038/s41467-019-12393-1,include,Correction/retraction check; no matching related notice established.,genetic,"{""candidate_id"":""MGSC09"",""decision"":""include"",""doi"":""10.1038/s41467-019-12393-1"",""lane"":""genetic"",""pmid"":""31594933"",""query_id"":""MGQ04"",""reason"":""Correction/retraction check; no matching related notice established."",""source_id"":""MG03"",""title"":""Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6783569/""}"
MGSC10,MGQ07,A disease-associated gene desert directs macrophage inflammation through ETS2,10.1038/s41586-024-07501-1,include,Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields.,genetic,"{""candidate_id"":""MGSC10"",""decision"":""include"",""doi"":""10.1038/s41586-024-07501-1"",""initial_decision"":""await_full_text"",""initial_reason"":""Correction query returned original and unrelated records; does not resolve notice relationships."",""lane"":""genetic"",""pmid"":""38839969"",""query_id"":""MGQ07"",""reason"":""Access subsequently resolved via parent-retrieved full primary PMC HTML; relevant Methods/Results inspected and four narrow assertions extracted. Original failed-access screening preserved in initial fields."",""source_id"":""MG05"",""title"":""A disease-associated gene desert directs macrophage inflammation through ETS2"",""url"":""https://www.nature.com/articles/s41586-024-07501-1""}"
MGSC11,MGQ08,Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens,10.1186/s13059-024-03176-z,include,Correction search surfaced2023 preprint predecessor; not counted independently.,genetic,"{""candidate_id"":""MGSC11"",""decision"":""include"",""doi"":""10.1186/s13059-024-03176-z"",""lane"":""genetic"",""pmid"":""38308274"",""query_id"":""MGQ08"",""reason"":""Correction search surfaced2023 preprint predecessor; not counted independently."",""source_id"":""MG04"",""title"":""Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens"",""url"":""https://link.springer.com/article/10.1186/s13059-024-03176-z""}"
MGSC12,MGQ09,Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,10.1038/ng2103,include,Publisher original and Duke metadata surfaced; no matching correction notice established.,genetic,"{""candidate_id"":""MGSC12"",""decision"":""include"",""doi"":""10.1038/ng2103"",""lane"":""genetic"",""pmid"":""17660817"",""query_id"":""MGQ09"",""reason"":""Publisher original and Duke metadata surfaced; no matching correction notice established."",""source_id"":""MG02"",""title"":""Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis"",""url"":""https://www.nature.com/articles/ng2103""}"
MGSC13,MGQ02,Systematic discovery and perturbation of regulatory genes in human T cells reveals the architecture of immune networks,unavailable,await_full_text,"Relevant primary CRISPR/RNA/ATAC immune network study found in ranked search; outside this bounded extraction subset, not yet inspected.",genetic,"{""candidate_id"":""MGSC13"",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ02"",""reason"":""Relevant primary CRISPR/RNA/ATAC immune network study found in ranked search; outside this bounded extraction subset, not yet inspected."",""title"":""Systematic discovery and perturbation of regulatory genes in human T cells reveals the architecture of immune networks"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10035359/""}"
MGSC14,MGQ02,Base-editing mutagenesis maps alleles to tune human T cell functions,unavailable,await_full_text,Relevant primary variant/protein-function study; transcript intermediary not checked.,genetic,"{""candidate_id"":""MGSC14"",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ02"",""reason"":""Relevant primary variant/protein-function study; transcript intermediary not checked."",""title"":""Base-editing mutagenesis maps alleles to tune human T cell functions"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11065414/""}"
MGSC15,MGQ02,Mapping variant effects on anti-tumor hallmarks of primary human T cells with base-editing screens,unavailable,await_full_text,Relevant primary functional variant study; full Methods/Results not inspected.,genetic,"{""candidate_id"":""MGSC15"",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ02"",""reason"":""Relevant primary functional variant study; full Methods/Results not inspected."",""title"":""Mapping variant effects on anti-tumor hallmarks of primary human T cells with base-editing screens"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC12488219/""}"
MGSC16,MGQ01,"The Relationship Between CSF1R Signaling, Monocyte-Macrophage Differentiation, and Susceptibility to Inflammatory Bowel Disease",unavailable,exclude,Commentary/review discovery only; raises ETS2 protein bridge question but not used as primary evidence.,genetic,"{""candidate_id"":""MGSC16"",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ01"",""reason"":""Commentary/review discovery only; raises ETS2 protein bridge question but not used as primary evidence."",""title"":""The Relationship Between CSF1R Signaling, Monocyte-Macrophage Differentiation, and Susceptibility to Inflammatory Bowel Disease"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC12143753/""}"
MGSC17,MGQ03,RETRACTED ARTICLE: Detection and replication of epistasis influencing transcription in humans,10.1038/nature13005,exclude,"Unrelated retracted epistasis paper, not a correction/retraction of MG01; matching generic words cannot establish publication relation.",genetic,"{""candidate_id"":""MGSC17"",""decision"":""exclude"",""doi"":""10.1038/nature13005"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ03"",""reason"":""Unrelated retracted epistasis paper, not a correction/retraction of MG01; matching generic words cannot establish publication relation."",""title"":""RETRACTED ARTICLE: Detection and replication of epistasis influencing transcription in humans"",""url"":""https://www.nature.com/articles/nature13005""}"
MGSC18,MGQ08,Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens (preprint),10.1101/2023.05.14.540711,exclude,"Same-title predecessor to MG04; published paper retained, no independent study count.",genetic,"{""candidate_id"":""MGSC18"",""decision"":""exclude"",""doi"":""10.1101/2023.05.14.540711"",""lane"":""genetic"",""pmid"":""unavailable"",""query_id"":""MGQ08"",""reason"":""Same-title predecessor to MG04; published paper retained, no independent study count."",""title"":""Mapping the functional impact of non-coding regulatory elements in primary T cells through single-cell CRISPR screens (preprint)"",""url"":""https://doi.org/10.1101/2023.05.14.540711""}"
MGSC19,MGQ12,A disease-associated gene desert directs macrophage inflammation through ETS2,10.1038/s41586-024-07501-1,include,Complete primary article recovered; bounded four-assertion extraction and two shared-intervention profiles. Access resolved; broader mechanism extraction remains partial.,genetic,"{""candidate_id"":""MGSC19"",""decision"":""include"",""doi"":""10.1038/s41586-024-07501-1"",""lane"":""genetic"",""pmid"":""38839969"",""query_id"":""MGQ12"",""reason"":""Complete primary article recovered; bounded four-assertion extraction and two shared-intervention profiles. Access resolved; broader mechanism extraction remains partial."",""source_id"":""MG05"",""title"":""A disease-associated gene desert directs macrophage inflammation through ETS2"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11168933/""}"
MP_SC001,MP_Q001,Loss of Functional Beta2-Microglobulin in Metastatic Melanomas From Five Patients Receiving Immunotherapy,10.1093/jnci/88.2.100,include,B2M protein/surface rescue and human HLA-compatible CTL lysis; full Methods/Results plus Fig5 image inspected.,antigen,"{""appearance_id"":""MP_AP001"",""candidate_id"":""MP_SC001"",""decision"":""include"",""doi"":""10.1093/jnci/88.2.100"",""lane"":""antigen"",""pmid"":""8537970"",""query_attribution"":""For multiquery batches, exact member-query rank attribution unavailable; batch and actual queries preserved in pack.json."",""query_id"":""MP_Q001"",""reason"":""B2M protein/surface rescue and human HLA-compatible CTL lysis; full Methods/Results plus Fig5 image inspected."",""source_id"":""MP_S001"",""title"":""Loss of Functional Beta2-Microglobulin in Metastatic Melanomas From Five Patients Receiving Immunotherapy"",""unique_paper_id"":""MP_S001"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2248456/""}"
