accession_or_record_id,dataset_id,eligibility,full_record_table,independent_cohort_count,modality,participant_count,processed_access_status,raw_access_evidence,raw_access_status,repository,repository_sample_count,review_status,scope,specimen,subset_rule,title,url
GSE201533,HR:GSE201533,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE201533,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201533
GSE190747,HR:GSE190747,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE190747,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190747
GSE199750,HR:GSE199750,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE199750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199750
GSE169159,HR:GSE169159,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE169159,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159
GSE29614,HR:GSE29614,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE29614,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614
GSE29615,HR:GSE29615,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE29615,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615
GSE29617,HR:GSE29617,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE29617,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617
GSE48762,HR:GSE48762,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE48762,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762
GSE45735,HR:GSE45735,vaccine_or_other_nonchallenge_context,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE45735,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45735
GSE201642,HR:GSE201642,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE201642,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642
GSE250023,HR:GSE250023,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE250023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250023
challenge_covid19,HR:challenge_covid19,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,challenge_covid19,https://www.covid19cellatlas.org/index.patient.html
GSE246937,HR:GSE246937,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE246937,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937
E_MTAB_12993_nose,HR:E_MTAB_12993_nose,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab,,E_MTAB_12993_nose,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993
E_MTAB_12993_blood,HR:E_MTAB_12993_blood,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,E_MTAB_12993_blood,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993
GSE11348,HR:GSE11348,outside_influenza_challenge_scope,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab,,GSE11348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348
GSE61754,HR:GSE61754,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE61754,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754
GSE90732,HR:GSE90732,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE90732,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90732
GSE155237,HR:GSE155237,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab,,GSE155237,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237
GSE73072_H1N1_DEE4,HR:GSE73072_H1N1_DEE4,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_H1N1_DEE4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_H1N1_DEE3,HR:GSE73072_H1N1_DEE3,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_H1N1_DEE3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_H3N2_DEE2,HR:GSE73072_H3N2_DEE2,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_H3N2_DEE2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_H3N2_DEE5,HR:GSE73072_H3N2_DEE5,source_verified_influenza_challenge_subset,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_H3N2_DEE5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_HRV_DUKE,HR:GSE73072_HRV_DUKE,outside_influenza_challenge_scope,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_HRV_DUKE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_HRV_UVA,HR:GSE73072_HRV_UVA,outside_influenza_challenge_scope,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_HRV_UVA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE73072_RSV_DEE1,HR:GSE73072_RSV_DEE1,outside_influenza_challenge_scope,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE73072_RSV_DEE1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072
GSE117580,HR:GSE117580,adjacent_excluded,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab,,GSE117580,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117580
GSE220682,HR:GSE220682,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE220682,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220682
GSE228839,HR:GSE228839,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE228839,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228839
GSE276544,HR:GSE276544,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE276544,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276544
GSE209985,HR:GSE209985,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE209985,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209985
GSE247401,HR:GSE247401,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE247401,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247401
GSE265975,HR:GSE265975,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE265975,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975
GSE102012,HR:GSE102012,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE102012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012
GSE217770,HR:GSE217770,vaccine_or_other_nonchallenge_context,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE217770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770
GSE230494,HR:GSE230494,vaccine_or_other_nonchallenge_context,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab,,GSE230494,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494
GSE52005,HR:GSE52005,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE52005,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005
GSE107990,HR:GSE107990,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE107990,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990
GSE281864,HR:GSE281864,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE281864,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281864
EMTAB10026,HR:EMTAB10026,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,EMTAB10026,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026
eskd_covid19,HR:eskd_covid19,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,nasal swab/PBMC,,eskd_covid19,https://www.covid19cellatlas.org/index.patient.html
GSE201534,HR:GSE201534,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE201534,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201534
GSE247917,HR:GSE247917,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE247917,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917
GSE195673,HR:GSE195673,outside_influenza_challenge_scope,hr_studies,,scRNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC/Lymph Node,,GSE195673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673
