search_id,lane,query,database,searched_at,result_source_ids,screening_notes,snapshot_path,total_hits,returned_pmids,retrieval_limit
RSEARCH_entity_CSF2,entity_CSF2,"(""CSF2"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:58.522656+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CSF2.json,135,"[""39137897"",""38589318"",""37229703"",""30358109"",""35220880"",""32610077"",""39016119"",""36171010"",""36336358"",""36632762""]",10
RSEARCH_entity_CXCL10,entity_CXCL10,"(""CXCL10"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:02.634066+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CXCL10.json,2949,"[""29893515"",""31185212"",""39264798"",""33875597"",""25756272"",""39351443"",""28240764"",""32330476"",""36401984"",""25945444""]",10
RSEARCH_entity_CXCL8,entity_CXCL8,"(""CXCL8"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:04.739224+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CXCL8.json,2476,"[""36725964"",""35247648"",""37026250"",""37876509"",""32182134"",""27673278"",""41413822"",""31029506"",""38309677"",""32723296""]",10
RSEARCH_entity_IFNG,entity_IFNG,"(""IFNG"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:07.237088+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IFNG.json,1000,"[""32033786"",""39531313"",""32035984"",""39115359"",""39483478"",""40828615"",""40553564"",""39193910"",""39978685"",""31185212""]",10
RSEARCH_entity_IL10,entity_IL10,"(""IL10"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:09.121339+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL10.json,12146,"[""28122130"",""41082839"",""41115260"",""37876509"",""29785672"",""40051629"",""31233292"",""34382069"",""32723296"",""30679579""]",10
RSEARCH_entity_IL12A,entity_IL12A,"(""IL12A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:11.792736+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL12A.json,145,"[""40848064"",""28476436"",""37352976"",""29155207"",""27783115"",""20802348"",""39951122"",""33004937"",""25589626"",""31552680""]",10
RSEARCH_entity_IL12B,entity_IL12B,"(""IL12B"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:13.333086+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL12B.json,250,"[""32269339"",""38923259"",""28756073"",""30774023"",""40217124"",""42024828"",""33546902"",""32355229"",""40569533"",""40817122""]",10
RSEARCH_entity_IL13,entity_IL13,"(""IL13"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:15.133977+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL13.json,3539,"[""10767254"",""18161745"",""28122130"",""25814340"",""29930549"",""31334913"",""39009587"",""25659898"",""36107181"",""38493956""]",10
RSEARCH_entity_IL15,entity_IL15,"(""IL15"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:17.433546+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL15.json,2504,"[""30995502"",""30150991"",""34997230"",""40425444"",""27655849"",""22983442"",""39351443"",""39374860"",""37683329"",""36107181""]",10
RSEARCH_entity_IL16,entity_IL16,"(""IL16"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:19.685496+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL16.json,219,"[""10857846"",""9451819"",""33067605"",""41956389"",""37525405"",""39766097"",""40869264"",""36781081"",""37918053"",""33398248""]",10
RSEARCH_entity_IL17A,entity_IL17A,"(""IL17A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:22.109091+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL17A.json,2624,"[""19575028"",""40802508"",""33932468"",""31866067"",""34822777"",""37026250"",""36270252"",""30109481"",""31334913"",""32968020""]",10
RSEARCH_entity_IL1A,entity_IL1A,"(""IL1A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:24.440135+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL1A.json,457,"[""29247995"",""37271319"",""39572160"",""37733448"",""33200890"",""35515000"",""33480001"",""32019420"",""31836429"",""40938538""]",10
RSEARCH_entity_IL1B,entity_IL1B,"(""IL1B"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:26.916694+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL1B.json,2267,"[""39085210"",""32978245"",""33809042"",""33076814"",""31496351"",""40895578"",""41121278"",""32799102"",""31540057"",""33310663""]",10
RSEARCH_entity_IL2,entity_IL2,"(""IL2"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:29.791580+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL2.json,12608,"[""34997230"",""28122130"",""36697826"",""37026250"",""40698080"",""33712283"",""31334913"",""36107181"",""39056129"",""39523093""]",10
RSEARCH_entity_IL4,entity_IL4,"(""IL4"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:31.550919+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL4.json,9077,"[""28122130"",""37026250"",""36270252"",""37876509"",""29785672"",""28553619"",""34183793"",""32723296"",""41263059"",""37561062""]",10
RSEARCH_entity_IL5,entity_IL5,"(""IL5"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:33.324391+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL5.json,2779,"[""35245537"",""28122130"",""26709128"",""38614096"",""36107181"",""39788434"",""38399983"",""11964695"",""33128925"",""40113544""]",10
RSEARCH_entity_IL6,entity_IL6,"(""IL6"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:34.839440+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL6.json,26614,"[""34997230"",""28122130"",""41082839"",""41115260"",""32968020"",""18991877"",""40467395"",""37876509"",""27792688"",""34991059""]",10
RSEARCH_entity_IL7,entity_IL7,"(""IL7"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:36.649683+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL7.json,1875,"[""36201890"",""30995502"",""30150991"",""34997230"",""30712873"",""30939120"",""39352394"",""41360767"",""39776916"",""37026250""]",10
RSEARCH_entity_LTA,entity_LTA,"(""LTA"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:38.339044+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_LTA.json,382,"[""41296826"",""40925957"",""40517600"",""40494852"",""30822611"",""29786250"",""40911079"",""40673809"",""38463252"",""35079937""]",10
RSEARCH_entity_TNF,entity_TNF,"(""TNF"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:40.183268+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_TNF.json,38123,"[""34997230"",""28122130"",""31334913"",""32968020"",""40467395"",""32495527"",""30287405"",""14563349"",""30252138"",""25756268""]",10
RSEARCH_entity_VEGFA,entity_VEGFA,"(""VEGFA"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:41.921700+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_VEGFA.json,1589,"[""24337385"",""37026250"",""20186114"",""38399983"",""40596479"",""29996499"",""25342084"",""32300208"",""40855097"",""38421042""]",10
XCH_Q001,chemokine_expansion,"[""CCL11 eotaxin human eosinophils CCR3 antibody chemotaxis Daugherty 1996"", ""CCL26 eotaxin 3 human eosinophil chemotaxis CCR3 full text"", ""MCP-4 CCL13 human monocytes eosinophils chemotaxis Uguccioni 1996"", ""macrophage derived chemokine CCL22 CCR4 human T cells chemotaxis Imai 1998""]",public web search; primary publisher/PubMed/PMC indexed results,2026-09-13 14:49:38 UTC,"[""XCH_S001"",""XCH_S002"",""XCH_S004""]",One batched search with the exact component queries listed. Ranked results are not exhaustive; screening below preserves repeated candidate appearances by query.,research/chemokine_expansion/snapshots/search1.json,,,
XCH_Q002,chemokine_expansion,"[""CCL3 CCL4 MIP-1alpha MIP-1beta human T lymphocytes chemotaxis CCR5 primary study"", ""TARC CCL17 CCR4 human T cells chemotaxis antibody full text"", ""CXCL10 IP10 human T cells chemotaxis CXCR3 primary study Loetscher 1996"", ""Human MCP4 CCL13 eosinophils monocytes basophils CCR2 CCR3 1996""]",public web search; primary publisher/PubMed/PMC indexed results,2026-09-13 14:50:08 UTC,"[""XCH_S005""]",One batched search with the exact component queries listed. Ranked results are not exhaustive; screening below preserves repeated candidate appearances by query.,research/chemokine_expansion/snapshots/search2.json,,,
XCH_Q003,chemokine_expansion,"[""\""Engagement of Two Distinct Binding Domains on CCL17\"" \""chemotaxis\"" \""human\"""", ""\""CCL26/eotaxin-3 is more effective\"" \""100\"" \""asthmatics\"""", ""\""Human macrophage-derived chemokine\"" \""1997\"" \""chemotactic\"" Godiska"", ""\""Chemokine receptor usage by human eosinophils\"" \""7B11\""""]",public web search; primary publisher/PubMed/PMC indexed results,2026-09-13 16:35:27 UTC,"[""XCH_S001"",""XCH_S002"",""XCH_S003""]",One batched search with the exact component queries listed. Ranked results are not exhaustive; screening below preserves repeated candidate appearances by query.,research/chemokine_expansion/snapshots/search3.json,,,
XCH_Q004,chemokine_expansion,"[""CCL17 CCL22 human T cells chemotaxis CCR4 1G1 monoclonal antibody primary"", ""MIP-1 alpha MIP-1 beta human T lymphocytes chemotaxis CCR5 primary 1993 Taub 7682337 full text""]",public web search; primary publisher/PubMed/PMC indexed results,2026-09-13 17:35:01 UTC,"[""XCH_S003"",""XCH_S005"",""XCH_S006"",""XCH_S007""]",One batched search with the exact component queries listed. Ranked results are not exhaustive; screening below preserves repeated candidate appearances by query.,research/chemokine_expansion/snapshots/open3.json,,,
XCH_Q005,chemokine_expansion,"[""\""CXCR3 and Its Ligand CXCL10\"" \""chemotaxis\"" \""inhibited\"""", ""\""Distinct conformations\"" \""CCR4\"" \""Th2\"" \""chemotaxis\"" \""Methods\"""", ""\""CCL26/eotaxin\"" \""Selection\"" \""Subjects\"" \""Provost\""""]",public web search of primary sources,2026-09-13 17:45:30 UTC,"[""XCH_S007"",""XCH_S009""]",Exact batched follow-up queries; ranked results are not exhaustive.,research/chemokine_expansion/snapshots/followup_search5.json,,,
XCH_Q006,chemokine_expansion,"[""\""Distinct conformations\"" \""CCR4\"" \""Figure 3\"" \""Th2\"""", ""\""CXCR3 and Its Ligand CXCL10\"" \""Results\"" \""macrophages\""""]",public web search of primary sources,2026-09-13 17:46:05 UTC,"[""XCH_S007"",""XCH_S009""]",Exact batched follow-up queries; ranked results are not exhaustive.,research/chemokine_expansion/snapshots/followup_search6.json,,,
XCH_Q007,chemokine_expansion,"[""\""A selective and potent CXCR3 antagonist SCH 546738\"" \""PMC\"""", ""\""CXCR3 and Its Ligand CXCL10\"" \""Figure 5\"""", ""\""CXCR3 and Its Ligand CXCL10\"" \""CXCL10 release\"""", ""\""CCL26/eotaxin-3\"" \""Methods\"" \""Patients\""""]",public web search of primary sources,2026-09-13 17:47:15 UTC,"[""XCH_S009""]",Exact batched follow-up queries; ranked results are not exhaustive.,research/chemokine_expansion/snapshots/followup_search7.json,,,
XCH_Q008,chemokine_expansion,Direct Chrome retrieval of already discovered candidate: https://pmc.ncbi.nlm.nih.gov/articles/PMC1891930/,PMC via Chrome,2026-09-13 17:51:33 UTC,"[""XCH_S009""]","Direct retrieval, not a new search or an independent study. Exact selected visible passages archived.",research/chemokine_expansion/snapshots/Agostini2001_chrome.txt,,,
XCH_Q009,chemokine_expansion,Direct Chrome retrieval of already discovered candidate: https://pmc.ncbi.nlm.nih.gov/articles/PMC3965571/,PMC via Chrome,2026-09-13 17:54:22 UTC,"[""XCH_S007""]","Direct retrieval, not a new search or an independent study. Exact selected visible passages archived.",research/chemokine_expansion/snapshots/Viney2014_chrome.txt,,,
XCH_Q010,chemokine_expansion,Direct Chrome retrieval of already discovered candidate: https://pubmed.ncbi.nlm.nih.gov/9151897/,PMC via Chrome,2026-09-13 17:54:22 UTC,"[""XCH_S003""]","Direct retrieval, not a new search or an independent study. Exact selected visible passages archived.",research/chemokine_expansion/snapshots/Godiska1997_chrome.txt,,,
XCH_Q011,chemokine_expansion,"[{""q"": ""\""Chemotaxis of T lymphocytes on extracellular matrix proteins\"" DOI""}, {""q"": ""\""Preferential migration of activated CD4+\"" \""PDF\""""}, {""q"": ""\""CCL26/eotaxin-3 is more effective\"" \""Materials\""""}]",public web primary-source retrieval,2026-09-13 18:05:02 UTC,"[""XCH_S002"",""XCH_S006""]",Actual follow-up batched query; ranked candidates not exhaustive.,research/chemokine_expansion/snapshots/followup_search8.json,,,
XCH_Q012,chemokine_expansion,"[{""q"": ""\""CCL26/eotaxin-3\"" \""Evaluation of volunteers\""""}, {""q"": ""\""CCL26/eotaxin-3\"" \""CCR3 blockade does not\""""}, {""q"": ""\""10.1126/science.7682337\""""}]",public web primary-source retrieval,2026-09-13 18:05:35 UTC,"[""XCH_S002"",""XCH_S005""]",Actual follow-up batched query; ranked candidates not exhaustive.,research/chemokine_expansion/snapshots/followup_search9.json,,,
XCH_Q013,chemokine_expansion,"[""site:jlb.onlinelibrary.wiley.com/doi/full/10.1189/jlb.0212074 \""Evaluation of volunteers\"" \""mild\"""", ""site:jlb.onlinelibrary.wiley.com/doi/full/10.1189/jlb.0212074 \""antibody\"" \""\u03bcg\"""", ""site:science.org/doi/10.1126/science.7682337""]",public web primary-source retrieval,2026-09-13 18:07:42 UTC,"[""XCH_S002""]",Actual follow-up batched query; ranked candidates not exhaustive.,research/chemokine_expansion/snapshots/followup_search10.json,,,
XCH_Q014,chemokine_expansion,Re-selected existing Chrome tab1487303548: https://jlb.onlinelibrary.wiley.com/doi/full/10.1189/jlb.0212074,Wiley primary publisher through Chrome,2026-09-13 18:07:42 UTC,"[""XCH_S002""]",Previously timed-out navigation had completed; full Methods/Results inspected.,research/chemokine_expansion/snapshots/Provost2013_chrome.txt,,,
XCH_Q015,chemokine_expansion,Direct PDF retrieval of previously discovered Heath1997 primary source; open requests at lines80 and245,Primary JCI publisher PDF via web tool,2026-09-13 17:44:23 UTC,"[""XCH_S001""]",Methods/Results retrieval documented in followup_fullmethods1.json; explicit include follow-up preserves original provisional screening history.,research/chemokine_expansion/snapshots/followup_fullmethods1.json,,,
XCH_Q016,chemokine_expansion,"[{""q"": ""\""Human macrophage inflammatory protein\"" \""distinct populations of lymphocytes\""""}, {""q"": ""\""CCL3\"" \""CCL4\"" \""human T\"" \""chemotaxis\"" site:pmc.ncbi.nlm.nih.gov \""Materials and Methods\""""}]",public web primary-source search,2026-09-13 18:28:38 UTC,"[""XCH_S010""]",Actual ranked candidate appearances; not exhaustive. Follow-up direct retrieval rows distinguish successful full methods from provisional candidates.,research/chemokine_expansion/snapshots/followup_search11.json,,,
XCH_Q017,chemokine_expansion,"[""\""Schall\"" \""je17761821\"" pdf"", ""\""Human macrophage inflammatory protein alpha\"" \""Materials and Methods\""""]",public web primary-source search,2026-09-13 18:32:25 UTC,[],Actual ranked candidate appearances; not exhaustive. Follow-up direct retrieval rows distinguish successful full methods from provisional candidates.,research/chemokine_expansion/snapshots/followup_search12.json,,,
XCH_Q018,chemokine_expansion,"[""\""Human macrophage inflammatory protein alpha (MIP-1 alpha) and MIP-1 beta chemokines attract distinct populations of lymphocytes\""""]",public web primary-source search,2026-09-13 18:32:25 UTC,[],Actual ranked candidate appearances; not exhaustive. Follow-up direct retrieval rows distinguish successful full methods from provisional candidates.,research/chemokine_expansion/snapshots/followup_search13.json,,,
XCH_Q019,chemokine_expansion,Direct retrieval and full-method inspection of primary candidate: https://pmc.ncbi.nlm.nih.gov/articles/PMC3422223/,PMC through Chrome,2026-09-13 18:31:00 UTC,"[""XCH_S010""]","Successful primary Methods/Results retrieval; same study, not independent replication. Loetscher underlying actual query log retained in exact source snapshot.",research/chemokine_expansion/snapshots/ScalleyKim2012_chrome.txt,,,
XCH_Q020,chemokine_expansion,Direct retrieval and full-method inspection of primary candidate: https://pmc.ncbi.nlm.nih.gov/articles/PMC2192763/,Primary published PDF mirror; independent follow-up query log in snapshot,2026-09-13T18:34:36Z,"[""XCH_S008""]","Successful primary Methods/Results retrieval; same study, not independent replication. Loetscher underlying actual query log retained in exact source snapshot.",research/fulltext_followup/XCH_S008_Loetscher1996_selected_primary.json,,,
XCI-Q01,cytokine expansion,"[""human eosinophils IL-5 GM-CSF survival apoptosis receptor blocking primary study PMC"", ""human T cells IL-2 STAT5 phosphorylation CD25 blockade primary study PMC"", ""human IL-16 CD4 chemotaxis antibody inhibition primary study PMC"", ""human IL-17A synovial fibroblasts IL-6 IL-8 receptor blockade primary study PMC""]","web search, batched queries",2026-09-13,"[""XCI-S01"",""XCI-S02"",""XCI-S03"",""XCI-S04"",""XCI-S05"",""XCI-S08""]",Actual batched query strings retained. Returned results are a bounded ranked sample; the tool did not attribute each merged result to one individual query. This ID identifies the complete batch.,,,,
XCI-Q02,cytokine expansion,"[""human IL-1alpha endothelial E-selectin neutrophil adhesion IL-1 receptor antagonist PMC primary study"", ""human IL-1alpha primary keratinocytes IL-6 IL-8 release neutralization PMC""]","web search, batched queries",2026-09-13,"[""XCI-S06"",""XCI-S07""]",Actual batched query strings retained. Returned results are a bounded ranked sample; the tool did not attribute each merged result to one individual query. This ID identifies the complete batch.,,,,
XCI-Q03,full-text retrieval,"NCBI efetch db=pmc id=4465562,2198963,2673366,4709758,6581624,5172478,9576869,3656131 retmode=xml",NCBI Entrez helper,2026-09-13,[],Exact request saved in pmc_request.json. Sandbox DNS failure; elevated network retry waited on approval and was aborted. No source XML downloaded. No further shell network calls attempted.,,,,
XCI-Q04,primary-page retrieval,"Open PMC4465562, PMC2198963, PMC5172478; then PMC2673366, PMC4709758, PMC9576869, PMC6581624",web open,2026-09-13,"[""XCI-S01""]",open01.json/open02.json retain actual outcomes. Only PMC4465562 returned article sections; other six returned CAPTCHA. No CAPTCHA bypass attempted.,,,,
XCI-Q05,exact-title follow-up,"[""\""Human mid-gestation amniotic fluid contains interleukin-16 bioactivity\"""", ""\""An Interleukin 5 Mutant Distinguishes between Two Functional Responses\"""", ""\""Gene Expression Profiling of IL-17A-Treated Synovial Fibroblasts\"""", ""\""CD25 and protein phosphatase 2A cooperate\""""]","web search,batched queries",2026-09-13,"[""XCI-S02"",""XCI-S03"",""XCI-S05"",""XCI-S08""]",Actual four exact-title queries and ranked outcomes saved in search03.json. Relevant primary IL16 results recovered; irrelevant signed-link token redacted. No exhaustive-search claim.,,,,
XCI-Q06,alternate-repository retrieval,"Open EuropePMC articles PMC2198963,PMC2673366,PMC4709758,PMC6581624",web open EuropePMC,2026-09-13,[],All four returned URL-not-safe non-retryable tool failures; actual outcomes in open03.json. No retrieved article content claimed.,,,,
XCI-Q07,full-method closure,"Chrome opens known PMC pages:2198963,2673366,6581624,5172478,4709758,3656131,9576869,4465562",Chrome browser visible article DOM,2026-09-13,"[""XCI-S01"",""XCI-S02"",""XCI-S03"",""XCI-S04"",""XCI-S05"",""XCI-S06"",""XCI-S07"",""XCI-S08""]","All eight article pages displayed full content without CAPTCHA. Relevant primary Methods,Results and captions read; selected verbatim passages saved under PMC-prefixed snapshot files, with article locators. No browser full-export/download claimed. Navigation,account details and external link metadata excluded.",,,,
XRE-Q01,receptor expansion,"[""human recombinant IL-12 natural killer cells interferon gamma 1991 primary study PMC"", ""lymphotoxin alpha LTalpha3 TNFR1 TNFR2 binding primary study human recombinant"", ""IL-1 beta human endothelial cells E selectin adhesion primary study PMC""]",web search batch with targeted primary-source retrieval,2026-09-13,"[""XRE-S03""]",Actual tool response retained in root_search1.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q02,receptor expansion,"[""\""Retrograde inflammatory signaling\"" \""119821\"" pdf"", ""\""Migration of human monocytes\"" \""flt-1\"" 1996 pdf"", ""\""IκBζ augments\"" \""recombinant\"" IL-12""]",web search batch with targeted primary-source retrieval,2026-09-13,"[""XRE-S04""]",Actual tool response retained in root_search2.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q03,receptor expansion,"[""\""Migration of Human Monocytes\"" \""Chemotaxis assay\"" VEGF"", ""\""Migration of Human Monocytes\"" \""monocytes\"" \""90\"" 3336"", ""\""IL-12p70\"" \""human NK cells\"" \""STAT4\"" \""R&D\"" PMC""]",web search batch with targeted primary-source retrieval,2026-09-13,"[""XRE-S04"",""XRE-S05""]",Actual tool response retained in root_search3.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q04,receptor expansion,"[""\""PMC5335862\"" \""10 ng/ml\"" IL12p70"", ""\""PMC5335862\"" \""phosphorylation\"" \""15 minutes\""""]",web search batch with targeted primary-source retrieval,2026-09-13,"[""XRE-S05""]",Actual tool response retained in root_il12_full.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q05,receptor expansion,"[""\""10.1371/journal.pone.0033106\"" \""133\"" \""48\"""", ""\""Migration of Human Monocytes\"" \""Isolation of\"" \""buffy coats\"""", ""\""Shear Stress Modulation\"" \""0.1\"" \""111\""""]",web search batch with targeted primary-source retrieval,2026-09-13,[],Actual tool response retained in root_search4.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q06,receptor expansion,"[""\""PMC508479\"" \""1\"" \""µg\"""", ""\""Retrograde inflammatory signaling\"" \""μg/ml\"""", ""\""Migration of Human Monocytes\"" \""18%\"" \""mononuclear\""""]",web search batch with targeted primary-source retrieval,2026-09-13,[],Actual tool response retained in root_search5.json; merged ranked results are not an exhaustive systematic search.,,,,
XRE-Q07,primary-page follow-up,"Direct retrieval of PMC2571934, PLOS 10.1371/journal.pone.0033106 and 0031874, JCI119821 PDF, publisher VEGF paper and PMC5335862; citations selected from saved discovery results.",Chrome visible article pages and web primary-page/indexed Methods retrieval,2026-09-13,"[""XRE-S01"",""XRE-S02"",""XRE-S03"",""XRE-S04"",""XRE-S05"",""XRE-S06""]","IL13, IL1B and LTA inspected in Chrome before extension UI blocked a later JCI tab. Further full text recovered through public publisher search/PDF routes. No CAPTCHA bypass or successful complete browser export claimed. Earlier failed worker handoff produced snapshots but no extraction pack; root authored this pack.",,,,
